,basin_name,date,rig_count
2101,Cana Woodford,2017-02-24,51
2102,Cana Woodford,2017-03-03,50
2103,Cana Woodford,2017-03-10,49
2104,Cana Woodford,2017-03-17,48
2105,Cana Woodford,2017-03-24,50
2106,Cana Woodford,2017-03-31,48
2107,Cana Woodford,2017-04-07,50
2108,Cana Woodford,2017-04-13,52
2109,Cana Woodford,2017-04-21,51
2110,Cana Woodford,2017-04-28,55
2111,Cana Woodford,2017-05-05,51
2112,Cana Woodford,2017-05-12,53
2113,Cana Woodford,2017-05-19,53
2114,Cana Woodford,2017-05-26,56
2115,Cana Woodford,2017-06-02,56
2116,Cana Woodford,2017-06-09,60
2117,Cana Woodford,2017-06-16,59
2118,Cana Woodford,2017-06-23,60
2119,Cana Woodford,2017-06-30,59
2120,Cana Woodford,2017-07-07,63
2121,Cana Woodford,2017-07-14,59
2122,Cana Woodford,2017-07-21,59
2123,Cana Woodford,2017-07-28,63
2124,Cana Woodford,2017-08-04,60
2125,Cana Woodford,2017-08-11,63
2126,Cana Woodford,2017-08-18,67
2127,Cana Woodford,2017-08-25,69
2128,Cana Woodford,2017-09-01,65
2129,Cana Woodford,2017-09-08,67
2130,Cana Woodford,2017-09-15,64
2131,Cana Woodford,2017-09-22,63
2132,Cana Woodford,2017-09-29,62
2133,Cana Woodford,2017-10-06,60
2134,Cana Woodford,2017-10-13,60
2135,Cana Woodford,2017-10-20,62
2136,Cana Woodford,2017-10-27,66
2137,Cana Woodford,2017-11-03,66
2138,Cana Woodford,2017-11-10,73
2139,Cana Woodford,2017-11-17,74
2140,Cana Woodford,2017-11-22,73
2141,Cana Woodford,2017-12-01,72
2142,Cana Woodford,2017-12-08,73
2143,Cana Woodford,2017-12-15,69
2144,Cana Woodford,2017-12-22,73
2145,Cana Woodford,2017-12-29,73
2146,Cana Woodford,2018-01-05,73
2147,Cana Woodford,2018-01-12,73
2148,Cana Woodford,2018-01-19,71
2149,Cana Woodford,2018-01-26,68
2150,Cana Woodford,2018-02-02,68
2151,Cana Woodford,2018-02-09,66
2152,Cana Woodford,2018-02-16,67
2153,Cana Woodford,2018-02-23,69
2154,Cana Woodford,2018-03-02,68
2155,Cana Woodford,2018-03-09,62
2156,Cana Woodford,2018-03-16,64
