month,us_prod
1961-01-15,223497
1961-02-15,204274
1961-03-15,231596
1961-04-15,219846
1961-05-15,221553
1961-06-15,213084
1961-07-15,215699
1961-08-15,220218
1961-09-15,209848
1961-10-15,220942
1961-11-15,214566
1961-12-15,226635
1962-01-15,227756
1962-02-15,209072
1962-03-15,228661
1962-04-15,221737
1962-05-15,222969
1962-06-15,217712
1962-07-15,224018
1962-08-15,224240
1962-09-15,219589
1962-10-15,228380
1962-11-15,223231
1962-12-15,228824
1963-01-15,226420
1963-02-15,212437
1963-03-15,234289
1963-04-15,228270
1963-05-15,234499
1963-06-15,226853
1963-07-15,235144
1963-08-15,236830
1963-09-15,225207
1963-10-15,233610
1963-11-15,226321
1963-12-15,232843
1964-01-15,236337
1964-02-15,222947
1964-03-15,239068
1964-04-15,232185
1964-05-15,234742
1964-06-15,226808
1964-07-15,231648
1964-08-15,230926
1964-09-15,225965
1964-10-15,236304
1964-11-15,229029
1964-12-15,240863
1965-01-15,240946
1965-02-15,218612
1965-03-15,243763
1965-04-15,236844
1965-05-15,238253
1965-06-15,232440
1965-07-15,237606
1965-08-15,240180
1965-09-15,222529
1965-10-15,244122
1965-11-15,239635
1965-12-15,253584
1966-01-15,249459
1966-02-15,230733
1966-03-15,257107
1966-04-15,248155
1966-05-15,258677
1966-06-15,250391
1966-07-15,255121
1966-08-15,255812
1966-09-15,247632
1966-10-15,258008
1966-11-15,252825
1966-12-15,263843
1967-01-15,265577
1967-02-15,241366
1967-03-15,264854
1967-04-15,254252
1967-05-15,259923
1967-06-15,256174
1967-07-15,283776
1967-08-15,292495
1967-09-15,272845
1967-10-15,278997
1967-11-15,269348
1967-12-15,276135
1968-01-15,279868
1968-02-15,270425
1968-03-15,288882
1968-04-15,273690
1968-05-15,285355
1968-06-15,274320
1968-07-15,283836
1968-08-15,283154
1968-09-15,267960
1968-10-15,276396
1968-11-15,269070
1968-12-15,276086
1969-01-15,275528
1969-02-15,249984
1969-03-15,280705
1969-04-15,277140
1969-05-15,290036
1969-06-15,288935
1969-07-15,288145
1969-08-15,281077
1969-09-15,278850
1969-10-15,285603
1969-11-15,280380
1969-12-15,295368
1970-01-15,293818
1970-02-15,267960
1970-03-15,294748
1970-04-15,287730
1970-05-15,295213
1970-06-15,280770
1970-07-15,285274
1970-08-15,296360
1970-09-15,295590
1970-10-15,310403
1970-11-15,301320
1970-12-15,308264
1971-01-15,299305
1971-02-15,272412
1971-03-15,302808
1971-04-15,293070
1971-05-15,298995
1971-06-15,288120
1971-07-15,293121
1971-08-15,291741
1971-09-15,274050
1971-10-15,284022
1971-11-15,274170
1971-12-15,282100
1972-01-15,282534
1972-02-15,270744
1972-03-15,293322
1972-04-15,285390
1972-05-15,298034
1972-06-15,285660
1972-07-15,294376
1972-08-15,293973
1972-09-15,285240
1972-10-15,293930
1972-11-15,282780
1972-12-15,289385
1973-01-15,284454
1973-02-15,263066
1973-03-15,287430
1973-04-15,278757
1973-05-15,287134
1973-06-15,276418
1973-07-15,285731
1973-08-15,284225
1973-09-15,271959
1973-10-15,285940
1973-11-15,274829
1973-12-15,280960
1974-01-15,276950
1974-02-15,255982
1974-03-15,277927
1974-04-15,268619
1974-05-15,276228
1974-06-15,263407
1974-07-15,272184
1974-08-15,269665
1974-09-15,253288
1974-10-15,266949
1974-11-15,257064
1974-12-15,264322
1975-01-15,262104
1975-02-15,240552
1975-03-15,263297
1975-04-15,253698
1975-05-15,259742
1975-06-15,252624
1975-07-15,258408
1975-08-15,255712
1975-09-15,248389
1975-10-15,258057
1975-11-15,248336
1975-12-15,255860
1976-01-15,255185
1976-02-15,238705
1976-03-15,255198
1976-04-15,242310
1976-05-15,251860
1976-06-15,242833
1976-07-15,251942
1976-08-15,251429
1976-09-15,244489
1976-10-15,249962
1976-11-15,242388
1976-12-15,249879
1977-01-15,243478
1977-02-15,227890
1977-03-15,250778
1977-04-15,244347
1977-05-15,250317
1977-06-15,243058
1977-07-15,251244
1977-08-15,257510
1977-09-15,254392
1977-10-15,265776
1977-11-15,257378
1977-12-15,263097
1978-01-15,259150
1978-02-15,234544
1978-03-15,270324
1978-04-15,264526
1978-05-15,273583
1978-06-15,264974
1978-07-15,271442
1978-08-15,271502
1978-09-15,264010
1978-10-15,273420
1978-11-15,262233
1978-12-15,268508
1979-01-15,262716
1979-02-15,238710
1979-03-15,266635
1979-04-15,256593
1979-05-15,266631
1979-06-15,252949
1979-07-15,259278
1979-08-15,264981
1979-09-15,255693
1979-10-15,267256
1979-11-15,262818
1979-12-15,267050
1980-01-15,268940
1980-02-15,252431
1980-03-15,269650
1980-04-15,260541
1980-05-15,267684
1980-06-15,256619
1980-07-15,264964
1980-08-15,260841
1980-09-15,258577
1980-10-15,264489
1980-11-15,254852
1980-12-15,266777
1981-01-15,264736
1981-02-15,240914
1981-03-15,267003
1981-04-15,256708
1981-05-15,263541
1981-06-15,258859
1981-07-15,263498
1981-08-15,266069
1981-09-15,258120
1981-10-15,265450
1981-11-15,257579
1981-12-15,266147
1982-01-15,263793
1982-02-15,243661
1982-03-15,268687
1982-04-15,257738
1982-05-15,269186
1982-06-15,259383
1982-07-15,268398
1982-08-15,267643
1982-09-15,261028
1982-10-15,269745
1982-11-15,260918
1982-12-15,266535
1983-01-15,269604
1983-02-15,245237
1983-03-15,269706
1983-04-15,263269
1983-05-15,267575
1983-06-15,260014
1983-07-15,267717
1983-08-15,269053
1983-09-15,263530
1983-10-15,271890
1983-11-15,263111
1983-12-15,260293
1984-01-15,274902
1984-02-15,257357
1984-03-15,268829
1984-04-15,265872
1984-05-15,277616
1984-06-15,265570
1984-07-15,275432
1984-08-15,273091
1984-09-15,269798
1984-10-15,276075
1984-11-15,269357
1984-12-15,275797
1985-01-15,270926
1985-02-15,252695
1985-03-15,281943
1985-04-15,271299
1985-05-15,283093
1985-06-15,270653
1985-07-15,277410
1985-08-15,272881
1985-09-15,268610
1985-10-15,278068
1985-11-15,267059
1985-12-15,279916
1986-01-15,283248
1986-02-15,256855
1986-03-15,279413
1986-04-15,265917
1986-05-15,273964
1986-06-15,258700
1986-07-15,268448
1986-08-15,259580
1986-09-15,249843
1986-10-15,260984
1986-11-15,252374
1986-12-15,258926
1987-01-15,262888
1987-02-15,234880
1987-03-15,262398
1987-04-15,254945
1987-05-15,258426
1987-06-15,248356
1987-07-15,255782
1987-08-15,254508
1987-09-15,246163
1987-10-15,259272
1987-11-15,251915
1987-12-15,257844
1988-01-15,255743
1988-02-15,242848
1988-03-15,259587
1988-04-15,248629
1988-05-15,255089
1988-06-15,245102
1988-07-15,249229
1988-08-15,250459
1988-09-15,236847
1988-10-15,248704
1988-11-15,240700
1988-12-15,246189
1989-01-15,246056
1989-02-15,218076
1989-03-15,234822
1989-04-15,233147
1989-05-15,242303
1989-06-15,228731
1989-07-15,230766
1989-08-15,233878
1989-09-15,226436
1989-10-15,231036
1989-11-15,226082
1989-12-15,227439
1990-01-15,233931
1990-02-15,209923
1990-03-15,230434
1990-04-15,222215
1990-05-15,227179
1990-06-15,213175
1990-07-15,222371
1990-08-15,225886
1990-09-15,216715
1990-10-15,233799
1990-11-15,221598
1990-12-15,227463
1991-01-15,232498
1991-02-15,213836
1991-03-15,233926
1991-04-15,225256
1991-05-15,229670
1991-06-15,219610
1991-07-15,227756
1991-08-15,226801
1991-09-15,221029
1991-10-15,230557
1991-11-15,219833
1991-12-15,226267
1992-01-15,228178
1992-02-15,214269
1992-03-15,227798
1992-04-15,218775
1992-05-15,222227
1992-06-15,215019
1992-07-15,221064
1992-08-15,214575
1992-09-15,210904
1992-10-15,220898
1992-11-15,210724
1992-12-15,220200
1993-01-15,215791
1993-02-15,194393
1993-03-15,216198
1993-04-15,206439
1993-05-15,212255
1993-06-15,203842
1993-07-15,207339
1993-08-15,209492
1993-09-15,201347
1993-10-15,212003
1993-11-15,207349
1993-12-15,212585
1994-01-15,211320
1994-02-15,189569
1994-03-15,209114
1994-04-15,198363
1994-05-15,207334
1994-06-15,198318
1994-07-15,201527
1994-08-15,202869
1994-09-15,198264
1994-10-15,206398
1994-11-15,198850
1994-12-15,209550
1995-01-15,207148
1995-02-15,190245
1995-03-15,204613
1995-04-15,198111
1995-05-15,205509
1995-06-15,197359
1995-07-15,199912
1995-08-15,199846
1995-09-15,192484
1995-10-15,199055
1995-11-15,197559
1995-12-15,202428
1996-01-15,201354
1996-02-15,190727
1996-03-15,203715
1996-04-15,193317
1996-05-15,198208
1996-06-15,193746
1996-07-15,196471
1996-08-15,197162
1996-09-15,194456
1996-10-15,200907
1996-11-15,194268
1996-12-15,201685
1997-01-15,198466
1997-02-15,182400
1997-03-15,200013
1997-04-15,193239
1997-05-15,200702
1997-06-15,193252
1997-07-15,198691
1997-08-15,196769
1997-09-15,194575
1997-10-15,200482
1997-11-15,193778
1997-12-15,202464
1998-01-15,202756
1998-02-15,181321
1998-03-15,198639
1998-04-15,194483
1998-05-15,196754
1998-06-15,188018
1998-07-15,192026
1998-08-15,192282
1998-09-15,173676
1998-10-15,190420
1998-11-15,184198
1998-12-15,187347
1999-01-15,184864
1999-02-15,167034
1999-03-15,182362
1999-04-15,176616
1999-05-15,182122
1999-06-15,172808
1999-07-15,179738
1999-08-15,179187
1999-09-15,174113
1999-10-15,184361
1999-11-15,178811
1999-12-15,184716
2000-01-15,179316
2000-02-15,169703
2000-03-15,183464
2000-04-15,175625
