,period,area-name,series-description,value,units
2312,2015-02-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
2319,2015-02-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),72,MBBL/D
2339,2015-02-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),394,MBBL/D
2346,2015-02-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),32,MBBL/D
2349,2015-02-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),60,MBBL/D
2352,2015-01-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),447,MBBL/D
2355,2015-01-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
2363,2015-01-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),134,MBBL/D
2366,2015-01-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
2377,2015-01-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5561,MBBL/D
2384,2015-01-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
2385,2015-01-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),63,MBBL/D
2387,2015-01-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2389,2015-01-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2407,2015-01-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),235,MBBL/D
2412,2015-01-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
2417,2015-01-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
2420,2015-01-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),9,MBBL/D
2447,2014-12-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),309,MBBL/D
2458,2014-12-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2463,2014-12-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2465,2014-12-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
2466,2014-12-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),73,MBBL/D
2468,2014-12-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
2472,2014-12-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2475,2014-12-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),136,MBBL/D
2505,2014-12-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),29,MBBL/D
2519,2014-12-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),745,MBBL/D
2524,2014-11-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5521,MBBL/D
2532,2014-11-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
2540,2014-11-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2556,2014-11-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),64,MBBL/D
2578,2014-11-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2580,2014-11-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),3450,MBBL/D
2581,2014-11-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),50,MBBL/D
2583,2014-11-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2596,2014-11-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2609,2014-10-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),568,MBBL/D
2619,2014-10-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1120,MBBL/D
2621,2014-10-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2625,2014-10-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
2627,2014-10-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),5466,MBBL/D
2629,2014-10-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
2633,2014-10-01,USA-NM,New Mexico Field Production of Crude Oil (Thousand Barrels per Day),371,MBBL/D
2634,2014-10-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),143,MBBL/D
2648,2014-10-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),500,MBBL/D
2660,2014-10-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
2669,2014-10-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2672,2014-10-01,USA-MS,Mississippi Field Production of Crude Oil (Thousand Barrels per Day),72,MBBL/D
2677,2014-10-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),50,MBBL/D
2686,2014-10-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),189,MBBL/D
2687,2014-10-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),3360,MBBL/D
2688,2014-09-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
2694,2014-09-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),8,MBBL/D
2706,2014-09-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2709,2014-09-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),140,MBBL/D
2715,2014-09-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),281,MBBL/D
2720,2014-09-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),568,MBBL/D
2722,2014-09-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2730,2014-09-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
2737,2014-09-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),116,MBBL/D
2762,2014-09-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),44,MBBL/D
2773,2014-08-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2779,2014-08-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),398,MBBL/D
2788,2014-08-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
2793,2014-08-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),27,MBBL/D
2795,2014-08-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
2812,2014-08-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1435,MBBL/D
2822,2014-08-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
2835,2014-08-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1020,MBBL/D
2843,2014-08-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),567,MBBL/D
2846,2014-08-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1127,MBBL/D
2847,2014-08-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2872,2014-07-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),186,MBBL/D
2883,2014-07-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),404,MBBL/D
2884,2014-07-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2888,2014-07-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1109,MBBL/D
2893,2014-07-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),559,MBBL/D
2894,2014-07-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2897,2014-07-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),270,MBBL/D
2910,2014-07-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
2927,2014-07-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),208,MBBL/D
2928,2014-07-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
2943,2014-06-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
2952,2014-06-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
2964,2014-06-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),1086,MBBL/D
2970,2014-06-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1412,MBBL/D
2986,2014-06-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),3144,MBBL/D
2998,2014-06-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),81,MBBL/D
3000,2014-06-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),115,MBBL/D
3001,2014-06-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
3005,2014-06-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
3016,2014-06-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
3024,2014-05-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),20,MBBL/D
3026,2014-05-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1413,MBBL/D
3028,2014-05-01,FLORIDA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
3034,2014-05-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),253,MBBL/D
3035,2014-05-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),38,MBBL/D
3037,2014-05-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3039,2014-05-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),24,MBBL/D
3049,2014-05-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
3050,2014-05-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3054,2014-05-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),409,MBBL/D
3060,2014-05-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1139,MBBL/D
3077,2014-05-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),524,MBBL/D
3091,2014-05-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3117,2014-04-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3134,2014-04-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
3139,2014-04-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),47,MBBL/D
3149,2014-04-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3175,2014-04-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1145,MBBL/D
3209,2014-03-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),971,MBBL/D
3212,2014-03-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),79,MBBL/D
3223,2014-03-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),108,MBBL/D
3226,2014-03-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),552,MBBL/D
3250,2014-03-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),4913,MBBL/D
3263,2014-03-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1124,MBBL/D
3265,2014-03-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3266,2014-03-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),192,MBBL/D
3267,2014-03-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3273,2014-03-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),530,MBBL/D
3282,2014-02-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
3286,2014-02-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3289,2014-02-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),23,MBBL/D
3294,2014-02-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
3316,2014-02-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),80,MBBL/D
3317,2014-02-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),106,MBBL/D
3318,2014-02-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),33,MBBL/D
3319,2014-02-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),374,MBBL/D
3333,2014-02-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
3339,2014-02-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
3358,2014-02-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),215,MBBL/D
3373,2014-01-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),103,MBBL/D
3381,2014-01-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),138,MBBL/D
3385,2014-01-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
3398,2014-01-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),52,MBBL/D
3409,2014-01-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3411,2014-01-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),553,MBBL/D
3412,2014-01-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
3432,2014-01-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),185,MBBL/D
3434,2014-01-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),23,MBBL/D
3436,2014-01-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
3448,2013-12-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
3465,2013-12-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3468,2013-12-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),4673,MBBL/D
3477,2013-12-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),77,MBBL/D
3479,2013-12-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),22,MBBL/D
3481,2013-12-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3489,2013-12-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),28,MBBL/D
3494,2013-12-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
3520,2013-12-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3535,2013-11-01,USA-UT,Utah Field Production of Crude Oil (Thousand Barrels per Day),105,MBBL/D
3550,2013-11-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),586,MBBL/D
3552,2013-11-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3553,2013-11-01,USA-ID,Idaho Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3557,2013-11-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),128,MBBL/D
3573,2013-11-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),536,MBBL/D
3575,2013-11-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),194,MBBL/D
3583,2013-11-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),17,MBBL/D
3598,2013-11-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),47,MBBL/D
3599,2013-11-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
3611,2013-11-01,TEXAS,Texas Field Production of Crude Oil (Thousand Barrels per Day),2696,MBBL/D
3614,2013-10-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),49,MBBL/D
3628,2013-10-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),80,MBBL/D
3642,2013-10-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),4474,MBBL/D
3643,2013-10-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
3652,2013-10-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3657,2013-10-01,COLORADO,Colorado Field Production of Crude Oil (Thousand Barrels per Day),209,MBBL/D
3660,2013-10-01,USA-IN,Indiana Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
3672,2013-10-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),28,MBBL/D
3685,2013-10-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),21,MBBL/D
3701,2013-09-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),28,MBBL/D
3707,2013-09-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),22,MBBL/D
3723,2013-09-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1111,MBBL/D
3745,2013-09-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),181,MBBL/D
3749,2013-09-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
3751,2013-09-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3756,2013-09-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
3757,2013-09-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),495,MBBL/D
3763,2013-09-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1319,MBBL/D
3764,2013-09-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),52,MBBL/D
3770,2013-09-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),46,MBBL/D
3779,2013-09-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),128,MBBL/D
3788,2013-08-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3808,2013-08-01,PADD 3,Gulf Coast (PADD 3) Field Production of Crude Oil (Thousand Barrels per Day),4407,MBBL/D
3813,2013-08-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
3829,2013-08-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),548,MBBL/D
3830,2013-08-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),27,MBBL/D
3840,2013-08-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
3841,2013-08-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
3855,2013-08-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),552,MBBL/D
3860,2013-08-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),29,MBBL/D
3870,2013-07-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
3875,2013-07-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),869,MBBL/D
3891,2013-07-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),336,MBBL/D
3896,2013-07-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),25,MBBL/D
3898,2013-07-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
3943,2013-07-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
3946,2013-07-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
3956,2013-06-01,NA,Federal Offshore PADD 5 Field Production of Crude Oil (Thousand Barrels per Day),50,MBBL/D
3967,2013-06-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1384,MBBL/D
3969,2013-06-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
3974,2013-06-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3994,2013-06-01,USA-MO,Missouri Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
3998,2013-06-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
4027,2013-06-01,USA-ND,North Dakota Field Production of Crude Oil (Thousand Barrels per Day),821,MBBL/D
4035,2013-05-01,USA-AR,Arkansas Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
4048,2013-05-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),516,MBBL/D
4057,2013-05-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),19,MBBL/D
4065,2013-05-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),515,MBBL/D
4069,2013-05-01,USA-SD,South Dakota Field Production of Crude Oil (Thousand Barrels per Day),5,MBBL/D
4074,2013-05-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),18,MBBL/D
4086,2013-05-01,USA-WY,Wyoming Field Production of Crude Oil (Thousand Barrels per Day),174,MBBL/D
4090,2013-05-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),548,MBBL/D
4102,2013-05-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),14,MBBL/D
4110,2013-05-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),28,MBBL/D
4124,2013-04-01,USA-AK,Alaska North Slope Crude Oil Production (Thousand Barrels per Day),510,MBBL/D
4134,2013-04-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
4139,2013-04-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1354,MBBL/D
4152,2013-04-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),15,MBBL/D
4185,2013-04-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
4196,2013-04-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),523,MBBL/D
4206,2013-03-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
4207,2013-03-01,USA-AL,Alabama Field Production of Crude Oil (Thousand Barrels per Day),29,MBBL/D
4217,2013-03-01,USA-LA,Louisiana Field Production of Crude Oil (Thousand Barrels per Day),200,MBBL/D
4219,2013-03-01,USA-MI,Michigan Field Production of Crude Oil (Thousand Barrels per Day),21,MBBL/D
4229,2013-03-01,NA,Federal Offshore--Gulf of Mexico Field Production of Crude Oil (Thousand Barrels per Day),1253,MBBL/D
4230,2013-03-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),545,MBBL/D
4232,2013-03-01,USA-KS,Kansas Field Production of Crude Oil (Thousand Barrels per Day),132,MBBL/D
4234,2013-03-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1329,MBBL/D
4239,2013-03-01,USA-NE,Nebraska Field Production of Crude Oil (Thousand Barrels per Day),7,MBBL/D
4249,2013-03-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),80,MBBL/D
4266,2013-03-01,USA-WV,West Virginia Field Production of Crude Oil (Thousand Barrels per Day),15,MBBL/D
4267,2013-03-01,USA-AK,Alaska Field Production of Crude Oil (Thousand Barrels per Day),533,MBBL/D
4275,2013-03-01,USA-IL,Illinois Field Production of Crude Oil (Thousand Barrels per Day),26,MBBL/D
4284,2013-02-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),288,MBBL/D
4289,2013-02-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1130,MBBL/D
4291,2013-02-01,USA-AZ,Arizona Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
4309,2013-02-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1273,MBBL/D
4340,2013-02-01,OHIO,Ohio Field Production of Crude Oil (Thousand Barrels per Day),16,MBBL/D
4347,2013-02-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
4353,2013-02-01,USA-MT,Montana Field Production of Crude Oil (Thousand Barrels per Day),78,MBBL/D
4359,2013-02-01,NA,Florida Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
4363,2013-02-01,NA,Alaska South Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
4365,2013-02-01,USA-TN,Tennessee Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
4372,2013-01-01,USA-VA,Virginia Field Production of Crude Oil (Thousand Barrels per Day),0,MBBL/D
4391,2013-01-01,USA-PA,Pennsylvania Field Production of Crude Oil (Thousand Barrels per Day),13,MBBL/D
4392,2013-01-01,USA-KY,Kentucky Field Production of Crude Oil (Thousand Barrels per Day),6,MBBL/D
4400,2013-01-01,CALIFORNIA,California Field Production of Crude Oil (Thousand Barrels per Day),534,MBBL/D
4406,2013-01-01,PADD 1,East Coast (PADD 1) Field Production of Crude Oil (Thousand Barrels per Day),31,MBBL/D
4414,2013-01-01,USA-OK,Oklahoma Field Production of Crude Oil (Thousand Barrels per Day),315,MBBL/D
4436,2013-01-01,PADD 5,West Coast (PADD 5) Field Production of Crude Oil (Thousand Barrels per Day),1134,MBBL/D
4441,2013-01-01,PADD 2,Midwest (PADD 2) Field Production of Crude Oil (Thousand Barrels per Day),1269,MBBL/D
4446,2013-01-01,USA-NV,Nevada Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
4458,2012-12-01,NEW YORK,New York Field Production of Crude Oil (Thousand Barrels per Day),1,MBBL/D
4461,2012-12-01,PADD 4,Rocky Mountain (PADD 4) Field Production of Crude Oil (Thousand Barrels per Day),487,MBBL/D
