,basins,period,value,size
1799,GOM&AK,2015-08-01,6,0.06
1816,GOM&AK,2015-08-01,1630,16.3
1839,GOM&AK,2015-08-01,408,4.08
1892,GOM&AK,2015-07-01,6,0.06
1914,GOM&AK,2015-07-01,431,4.31
1935,GOM&AK,2015-06-01,7,0.07
1971,GOM&AK,2015-06-01,24,0.24
1975,GOM&AK,2015-06-01,5572,55.72
1989,GOM&AK,2015-06-01,447,4.47
1990,GOM&AK,2015-06-01,18,0.18
1995,GOM&AK,2015-06-01,428,4.28
2034,GOM&AK,2015-05-01,1404,14.04
2042,GOM&AK,2015-05-01,5632,56.32
2073,GOM&AK,2015-05-01,63,0.63
2097,GOM&AK,2015-05-01,473,4.73
2121,GOM&AK,2015-04-01,4,0.04
2141,GOM&AK,2015-04-01,1504,15.04
2165,GOM&AK,2015-04-01,20,0.2
2186,GOM&AK,2015-03-01,5712,57.12
2259,GOM&AK,2015-03-01,1380,13.8
2275,GOM&AK,2015-02-01,19,0.19
2284,GOM&AK,2015-02-01,1456,14.56
2349,GOM&AK,2015-02-01,60,0.6
2355,GOM&AK,2015-01-01,19,0.19
2377,GOM&AK,2015-01-01,5561,55.61
2524,GOM&AK,2014-11-01,5521,55.21
2556,GOM&AK,2014-11-01,64,0.64
2596,GOM&AK,2014-11-01,6,0.06
2619,GOM&AK,2014-10-01,1120,11.2
2621,GOM&AK,2014-10-01,6,0.06
2627,GOM&AK,2014-10-01,5466,54.66
2648,GOM&AK,2014-10-01,500,5.0
2660,GOM&AK,2014-10-01,20,0.2
2779,GOM&AK,2014-08-01,398,3.98
2812,GOM&AK,2014-08-01,1435,14.35
2835,GOM&AK,2014-08-01,1020,10.2
2883,GOM&AK,2014-07-01,404,4.04
2970,GOM&AK,2014-06-01,1412,14.12
3005,GOM&AK,2014-06-01,7,0.07
3026,GOM&AK,2014-05-01,1413,14.13
3060,GOM&AK,2014-05-01,1139,11.39
3077,GOM&AK,2014-05-01,524,5.24
3139,GOM&AK,2014-04-01,47,0.47
3175,GOM&AK,2014-04-01,1145,11.45
3250,GOM&AK,2014-03-01,4913,49.13
3263,GOM&AK,2014-03-01,1124,11.24
3273,GOM&AK,2014-03-01,530,5.3
3282,GOM&AK,2014-02-01,6,0.06
3339,GOM&AK,2014-02-01,18,0.18
3398,GOM&AK,2014-01-01,52,0.52
3436,GOM&AK,2014-01-01,6,0.06
3448,GOM&AK,2013-12-01,6,0.06
3468,GOM&AK,2013-12-01,4673,46.73
3573,GOM&AK,2013-11-01,536,5.36
3583,GOM&AK,2013-11-01,17,0.17
3598,GOM&AK,2013-11-01,47,0.47
3614,GOM&AK,2013-10-01,49,0.49
3642,GOM&AK,2013-10-01,4474,44.74
3643,GOM&AK,2013-10-01,7,0.07
3723,GOM&AK,2013-09-01,1111,11.11
3757,GOM&AK,2013-09-01,495,4.95
3763,GOM&AK,2013-09-01,1319,13.19
3764,GOM&AK,2013-09-01,52,0.52
3770,GOM&AK,2013-09-01,46,0.46
3808,GOM&AK,2013-08-01,4407,44.07
3840,GOM&AK,2013-08-01,6,0.06
3956,GOM&AK,2013-06-01,50,0.5
4065,GOM&AK,2013-05-01,515,5.15
4102,GOM&AK,2013-05-01,14,0.14
4124,GOM&AK,2013-04-01,510,5.1
4196,GOM&AK,2013-04-01,523,5.23
4206,GOM&AK,2013-03-01,6,0.06
4229,GOM&AK,2013-03-01,1253,12.53
4267,GOM&AK,2013-03-01,533,5.33
4289,GOM&AK,2013-02-01,1130,11.3
4359,GOM&AK,2013-02-01,6,0.06
4363,GOM&AK,2013-02-01,13,0.13
4406,GOM&AK,2013-01-01,31,0.31
4436,GOM&AK,2013-01-01,1134,11.34
4467,GOM&AK,2012-12-01,1378,13.78
4482,GOM&AK,2012-12-01,45,0.45
4484,GOM&AK,2012-12-01,1136,11.36
4486,GOM&AK,2012-12-01,28,0.28
4551,GOM&AK,2012-11-01,542,5.42
4568,GOM&AK,2012-11-01,29,0.29
4653,GOM&AK,2012-10-01,1143,11.43
4700,GOM&AK,2012-10-01,547,5.47
4764,GOM&AK,2012-09-01,26,0.26
4856,GOM&AK,2012-08-01,50,0.5
4882,GOM&AK,2012-07-01,1252,12.52
4902,GOM&AK,2012-07-01,6,0.06
4904,GOM&AK,2012-07-01,53,0.53
4923,GOM&AK,2012-07-01,1011,10.11
4948,GOM&AK,2012-07-01,26,0.26
0,GOM&AK,2012-06-01,483,4.83
35,GOM&AK,2012-06-01,1114,11.14
39,GOM&AK,2012-06-01,10,0.1
40,GOM&AK,2012-06-01,1087,10.87
91,GOM&AK,2012-05-01,546,5.46
125,GOM&AK,2012-05-01,11,0.11
148,GOM&AK,2012-05-01,535,5.35
160,GOM&AK,2012-05-01,1195,11.95
231,GOM&AK,2012-04-01,552,5.52
249,GOM&AK,2012-04-01,1133,11.33
322,GOM&AK,2012-03-01,567,5.67
359,GOM&AK,2012-02-01,6,0.06
410,GOM&AK,2012-02-01,1326,13.26
452,GOM&AK,2012-01-01,6,0.06
543,GOM&AK,2011-12-01,22,0.22
555,GOM&AK,2011-12-01,1257,12.57
566,GOM&AK,2011-12-01,6,0.06
594,GOM&AK,2011-11-01,6,0.06
630,GOM&AK,2011-11-01,50,0.5
672,GOM&AK,2011-10-01,1291,12.91
677,GOM&AK,2011-10-01,11,0.11
725,GOM&AK,2011-10-01,55,0.55
773,GOM&AK,2011-09-01,6,0.06
789,GOM&AK,2011-09-01,574,5.74
826,GOM&AK,2011-09-01,3120,31.2
891,GOM&AK,2011-08-01,515,5.15
903,GOM&AK,2011-08-01,54,0.54
972,GOM&AK,2011-07-01,21,0.21
987,GOM&AK,2011-07-01,453,4.53
1020,GOM&AK,2011-06-01,22,0.22
1038,GOM&AK,2011-06-01,3209,32.09
1122,GOM&AK,2011-05-01,5,0.05
1147,GOM&AK,2011-05-01,22,0.22
1175,GOM&AK,2011-05-01,55,0.55
1196,GOM&AK,2011-04-01,6,0.06
1236,GOM&AK,2011-04-01,57,0.57
1237,GOM&AK,2011-04-01,1346,13.46
1315,GOM&AK,2011-03-01,10,0.1
1329,GOM&AK,2011-03-01,601,6.01
1339,GOM&AK,2011-03-01,22,0.22
1365,GOM&AK,2011-02-01,53,0.53
1373,GOM&AK,2011-02-01,3092,30.92
1459,GOM&AK,2011-01-01,459,4.59
1485,GOM&AK,2011-01-01,53,0.53
1508,GOM&AK,2011-01-01,21,0.21
1531,GOM&AK,2010-12-01,602,6.02
1565,GOM&AK,2010-12-01,10,0.1
1713,GOM&AK,2010-10-01,1216,12.16
1724,GOM&AK,2010-10-01,3257,32.57
1746,GOM&AK,2010-10-01,57,0.57
1799,GOM&AK,2010-09-01,3248,32.48
1815,GOM&AK,2010-09-01,58,0.58
1839,GOM&AK,2010-09-01,21,0.21
1844,GOM&AK,2010-09-01,1227,12.27
1906,GOM&AK,2010-08-01,538,5.38
1939,GOM&AK,2010-07-01,3053,30.53
1949,GOM&AK,2010-07-01,5,0.05
1959,GOM&AK,2010-07-01,1434,14.34
1971,GOM&AK,2010-07-01,59,0.59
1995,GOM&AK,2010-07-01,545,5.45
2020,GOM&AK,2010-06-01,1543,15.43
2034,GOM&AK,2010-06-01,1148,11.48
2098,GOM&AK,2010-06-01,3144,31.44
2106,GOM&AK,2010-05-01,571,5.71
2165,GOM&AK,2010-05-01,5,0.05
2245,GOM&AK,2010-04-01,1481,14.81
2259,GOM&AK,2010-04-01,11,0.11
2266,GOM&AK,2010-04-01,62,0.62
2275,GOM&AK,2010-03-01,3202,32.02
2284,GOM&AK,2010-03-01,1600,16.0
2363,GOM&AK,2010-02-01,625,6.25
2389,GOM&AK,2010-02-01,635,6.35
2447,GOM&AK,2010-01-01,61,0.61
2463,GOM&AK,2010-01-01,10,0.1
2519,GOM&AK,2010-01-01,1655,16.55
2540,GOM&AK,2009-12-01,645,6.45
2627,GOM&AK,2009-11-01,62,0.62
2672,GOM&AK,2009-11-01,9,0.09
2677,GOM&AK,2009-11-01,3119,31.19
2688,GOM&AK,2009-10-01,1283,12.83
2737,GOM&AK,2009-10-01,659,6.59
2762,GOM&AK,2009-10-01,2,0.02
2793,GOM&AK,2009-09-01,61,0.61
2843,GOM&AK,2009-09-01,3288,32.88
2893,GOM&AK,2009-08-01,1734,17.34
2928,GOM&AK,2009-08-01,63,0.63
2970,GOM&AK,2009-07-01,3241,32.41
3024,GOM&AK,2009-06-01,1561,15.61
3054,GOM&AK,2009-06-01,17,0.17
3060,GOM&AK,2009-06-01,567,5.67
3091,GOM&AK,2009-06-01,4,0.04
3134,GOM&AK,2009-05-01,3099,30.99
3149,GOM&AK,2009-05-01,674,6.74
3250,GOM&AK,2009-04-01,63,0.63
3319,GOM&AK,2009-03-01,11,0.11
3333,GOM&AK,2009-03-01,40,0.4
3398,GOM&AK,2009-02-01,14,0.14
3412,GOM&AK,2009-02-01,11,0.11
3434,GOM&AK,2009-02-01,696,6.96
3468,GOM&AK,2009-01-01,1326,13.26
3477,GOM&AK,2009-01-01,67,0.67
3489,GOM&AK,2009-01-01,2874,28.74
3552,GOM&AK,2008-12-01,12,0.12
3557,GOM&AK,2008-12-01,690,6.9
3573,GOM&AK,2008-12-01,68,0.68
3672,GOM&AK,2008-11-01,6,0.06
3757,GOM&AK,2008-10-01,704,7.04
3763,GOM&AK,2008-10-01,716,7.16
3779,GOM&AK,2008-10-01,803,8.03
3808,GOM&AK,2008-09-01,681,6.81
3813,GOM&AK,2008-09-01,242,2.42
3829,GOM&AK,2008-09-01,13,0.13
3860,GOM&AK,2008-09-01,1337,13.37
3943,GOM&AK,2008-08-01,20,0.2
3956,GOM&AK,2008-07-01,1288,12.88
3974,GOM&AK,2008-07-01,2957,29.57
4057,GOM&AK,2008-06-01,2901,29.01
4086,GOM&AK,2008-06-01,20,0.2
4124,GOM&AK,2008-05-01,64,0.64
4207,GOM&AK,2008-04-01,6,0.06
4217,GOM&AK,2008-04-01,1356,13.56
4309,GOM&AK,2008-03-01,2901,29.01
4340,GOM&AK,2008-03-01,726,7.26
4359,GOM&AK,2008-03-01,13,0.13
4372,GOM&AK,2008-02-01,13,0.13
4486,GOM&AK,2008-01-01,64,0.64
4508,GOM&AK,2008-01-01,1362,13.62
