,basins,period,value,size
3000,Marcellus,2009-07-01,25,0.25
3028,Marcellus,2009-06-01,6,0.06
3212,Marcellus,2009-04-01,25,0.25
3289,Marcellus,2009-03-01,27,0.27
3294,Marcellus,2009-03-01,5,0.05
3385,Marcellus,2009-02-01,25,0.25
3411,Marcellus,2009-02-01,7,0.07
3465,Marcellus,2009-01-01,3,0.03
3520,Marcellus,2009-01-01,23,0.23
3553,Marcellus,2008-12-01,8,0.08
3575,Marcellus,2008-12-01,5,0.05
3642,Marcellus,2008-11-01,8,0.08
3643,Marcellus,2008-11-01,25,0.25
3749,Marcellus,2008-10-01,8,0.08
3891,Marcellus,2008-08-01,0,0.0
3998,Marcellus,2008-07-01,8,0.08
4069,Marcellus,2008-06-01,8,0.08
4134,Marcellus,2008-05-01,25,0.25
4139,Marcellus,2008-05-01,8,0.08
4152,Marcellus,2008-05-01,6,0.06
4219,Marcellus,2008-04-01,27,0.27
4232,Marcellus,2008-04-01,7,0.07
4234,Marcellus,2008-04-01,8,0.08
4365,Marcellus,2008-03-01,26,0.26
4400,Marcellus,2008-02-01,24,0.24
4441,Marcellus,2008-02-01,9,0.09
4533,Marcellus,2008-01-01,5,0.05
4653,Marcellus,2007-11-01,26,0.26
4700,Marcellus,2007-11-01,0,0.0
4779,Marcellus,2007-10-01,0,0.0
4877,Marcellus,2007-08-01,8,0.08
4968,Marcellus,2007-07-01,0,0.0
4970,Marcellus,2007-07-01,8,0.08
4981,Marcellus,2007-07-01,27,0.27
4992,Marcellus,2007-07-01,7,0.07
