,basins,period,value
2883,GOM&AK,2014-07-01,404
2970,GOM&AK,2014-06-01,1412
3005,GOM&AK,2014-06-01,7
3026,GOM&AK,2014-05-01,1413
3060,GOM&AK,2014-05-01,1139
3077,GOM&AK,2014-05-01,524
3139,GOM&AK,2014-04-01,47
3175,GOM&AK,2014-04-01,1145
3250,GOM&AK,2014-03-01,4913
3263,GOM&AK,2014-03-01,1124
3273,GOM&AK,2014-03-01,530
3282,GOM&AK,2014-02-01,6
3339,GOM&AK,2014-02-01,18
3398,GOM&AK,2014-01-01,52
3436,GOM&AK,2014-01-01,6
3448,GOM&AK,2013-12-01,6
3468,GOM&AK,2013-12-01,4673
3573,GOM&AK,2013-11-01,536
3583,GOM&AK,2013-11-01,17
3598,GOM&AK,2013-11-01,47
3614,GOM&AK,2013-10-01,49
3642,GOM&AK,2013-10-01,4474
3643,GOM&AK,2013-10-01,7
3723,GOM&AK,2013-09-01,1111
3757,GOM&AK,2013-09-01,495
3763,GOM&AK,2013-09-01,1319
3764,GOM&AK,2013-09-01,52
3770,GOM&AK,2013-09-01,46
3808,GOM&AK,2013-08-01,4407
3840,GOM&AK,2013-08-01,6
3956,GOM&AK,2013-06-01,50
4065,GOM&AK,2013-05-01,515
4102,GOM&AK,2013-05-01,14
4124,GOM&AK,2013-04-01,510
4196,GOM&AK,2013-04-01,523
4206,GOM&AK,2013-03-01,6
4229,GOM&AK,2013-03-01,1253
4267,GOM&AK,2013-03-01,533
4289,GOM&AK,2013-02-01,1130
4359,GOM&AK,2013-02-01,6
4363,GOM&AK,2013-02-01,13
4406,GOM&AK,2013-01-01,31
4436,GOM&AK,2013-01-01,1134
4467,GOM&AK,2012-12-01,1378
4482,GOM&AK,2012-12-01,45
4484,GOM&AK,2012-12-01,1136
4486,GOM&AK,2012-12-01,28
4551,GOM&AK,2012-11-01,542
4568,GOM&AK,2012-11-01,29
4653,GOM&AK,2012-10-01,1143
4700,GOM&AK,2012-10-01,547
4764,GOM&AK,2012-09-01,26
4856,GOM&AK,2012-08-01,50
4882,GOM&AK,2012-07-01,1252
4902,GOM&AK,2012-07-01,6
4904,GOM&AK,2012-07-01,53
4923,GOM&AK,2012-07-01,1011
4948,GOM&AK,2012-07-01,26
0,GOM&AK,2012-06-01,483
35,GOM&AK,2012-06-01,1114
39,GOM&AK,2012-06-01,10
40,GOM&AK,2012-06-01,1087
91,GOM&AK,2012-05-01,546
125,GOM&AK,2012-05-01,11
148,GOM&AK,2012-05-01,535
160,GOM&AK,2012-05-01,1195
231,GOM&AK,2012-04-01,552
249,GOM&AK,2012-04-01,1133
322,GOM&AK,2012-03-01,567
359,GOM&AK,2012-02-01,6
410,GOM&AK,2012-02-01,1326
452,GOM&AK,2012-01-01,6
543,GOM&AK,2011-12-01,22
555,GOM&AK,2011-12-01,1257
566,GOM&AK,2011-12-01,6
594,GOM&AK,2011-11-01,6
630,GOM&AK,2011-11-01,50
672,GOM&AK,2011-10-01,1291
677,GOM&AK,2011-10-01,11
725,GOM&AK,2011-10-01,55
773,GOM&AK,2011-09-01,6
789,GOM&AK,2011-09-01,574
826,GOM&AK,2011-09-01,3120
891,GOM&AK,2011-08-01,515
903,GOM&AK,2011-08-01,54
972,GOM&AK,2011-07-01,21
987,GOM&AK,2011-07-01,453
1020,GOM&AK,2011-06-01,22
1038,GOM&AK,2011-06-01,3209
1122,GOM&AK,2011-05-01,5
1147,GOM&AK,2011-05-01,22
1175,GOM&AK,2011-05-01,55
1196,GOM&AK,2011-04-01,6
1236,GOM&AK,2011-04-01,57
1237,GOM&AK,2011-04-01,1346
1315,GOM&AK,2011-03-01,10
1329,GOM&AK,2011-03-01,601
1339,GOM&AK,2011-03-01,22
1365,GOM&AK,2011-02-01,53
1373,GOM&AK,2011-02-01,3092
1459,GOM&AK,2011-01-01,459
1485,GOM&AK,2011-01-01,53
1508,GOM&AK,2011-01-01,21
1531,GOM&AK,2010-12-01,602
1565,GOM&AK,2010-12-01,10
1713,GOM&AK,2010-10-01,1216
1724,GOM&AK,2010-10-01,3257
1746,GOM&AK,2010-10-01,57
1799,GOM&AK,2010-09-01,3248
1815,GOM&AK,2010-09-01,58
1839,GOM&AK,2010-09-01,21
1844,GOM&AK,2010-09-01,1227
1906,GOM&AK,2010-08-01,538
1939,GOM&AK,2010-07-01,3053
1949,GOM&AK,2010-07-01,5
1959,GOM&AK,2010-07-01,1434
1971,GOM&AK,2010-07-01,59
1995,GOM&AK,2010-07-01,545
2020,GOM&AK,2010-06-01,1543
2034,GOM&AK,2010-06-01,1148
2098,GOM&AK,2010-06-01,3144
2106,GOM&AK,2010-05-01,571
2165,GOM&AK,2010-05-01,5
2245,GOM&AK,2010-04-01,1481
2259,GOM&AK,2010-04-01,11
2266,GOM&AK,2010-04-01,62
2275,GOM&AK,2010-03-01,3202
2284,GOM&AK,2010-03-01,1600
2363,GOM&AK,2010-02-01,625
2389,GOM&AK,2010-02-01,635
2447,GOM&AK,2010-01-01,61
2463,GOM&AK,2010-01-01,10
2519,GOM&AK,2010-01-01,1655
2540,GOM&AK,2009-12-01,645
2627,GOM&AK,2009-11-01,62
2672,GOM&AK,2009-11-01,9
2677,GOM&AK,2009-11-01,3119
2688,GOM&AK,2009-10-01,1283
2737,GOM&AK,2009-10-01,659
2762,GOM&AK,2009-10-01,2
2793,GOM&AK,2009-09-01,61
2843,GOM&AK,2009-09-01,3288
2893,GOM&AK,2009-08-01,1734
2928,GOM&AK,2009-08-01,63
2970,GOM&AK,2009-07-01,3241
3024,GOM&AK,2009-06-01,1561
3054,GOM&AK,2009-06-01,17
3060,GOM&AK,2009-06-01,567
3091,GOM&AK,2009-06-01,4
3134,GOM&AK,2009-05-01,3099
3149,GOM&AK,2009-05-01,674
3250,GOM&AK,2009-04-01,63
3319,GOM&AK,2009-03-01,11
3333,GOM&AK,2009-03-01,40
3398,GOM&AK,2009-02-01,14
3412,GOM&AK,2009-02-01,11
3434,GOM&AK,2009-02-01,696
3468,GOM&AK,2009-01-01,1326
3477,GOM&AK,2009-01-01,67
3489,GOM&AK,2009-01-01,2874
3552,GOM&AK,2008-12-01,12
3557,GOM&AK,2008-12-01,690
3573,GOM&AK,2008-12-01,68
3672,GOM&AK,2008-11-01,6
3757,GOM&AK,2008-10-01,704
3763,GOM&AK,2008-10-01,716
3779,GOM&AK,2008-10-01,803
3808,GOM&AK,2008-09-01,681
3813,GOM&AK,2008-09-01,242
3829,GOM&AK,2008-09-01,13
3860,GOM&AK,2008-09-01,1337
3943,GOM&AK,2008-08-01,20
3956,GOM&AK,2008-07-01,1288
3974,GOM&AK,2008-07-01,2957
4057,GOM&AK,2008-06-01,2901
4086,GOM&AK,2008-06-01,20
4124,GOM&AK,2008-05-01,64
4207,GOM&AK,2008-04-01,6
4217,GOM&AK,2008-04-01,1356
4309,GOM&AK,2008-03-01,2901
4340,GOM&AK,2008-03-01,726
4359,GOM&AK,2008-03-01,13
4372,GOM&AK,2008-02-01,13
4486,GOM&AK,2008-01-01,64
4508,GOM&AK,2008-01-01,1362
4528,GOM&AK,2008-01-01,697
4543,GOM&AK,2007-12-01,14
4544,GOM&AK,2007-12-01,735
4551,GOM&AK,2007-12-01,1287
4594,GOM&AK,2007-12-01,1396
4596,GOM&AK,2007-12-01,720
4647,GOM&AK,2007-11-01,14
4750,GOM&AK,2007-10-01,684
4755,GOM&AK,2007-10-01,698
4774,GOM&AK,2007-10-01,64
4782,GOM&AK,2007-10-01,14
4786,GOM&AK,2007-10-01,2805
4820,GOM&AK,2007-09-01,20
4840,GOM&AK,2007-09-01,639
4871,GOM&AK,2007-09-01,66
4882,GOM&AK,2007-08-01,67
4888,GOM&AK,2007-08-01,1306
4902,GOM&AK,2007-08-01,629
4945,GOM&AK,2007-08-01,1259
4974,GOM&AK,2007-07-01,1384
4976,GOM&AK,2007-07-01,1267
4980,GOM&AK,2007-07-01,2786
4988,GOM&AK,2007-07-01,716
