,Date,Total Approve,Total Disapprove,Relative Approval,Neutral
73,2022-03-25,42,57,-15,1
74,2022-03-24,41,58,-17,1
75,2022-03-23,42,57,-15,1
76,2022-03-22,41,58,-17,1
77,2022-03-21,40,58,-18,2
78,2022-03-18,38,60,-22,2
79,2022-03-17,41,58,-17,1
80,2022-03-16,42,57,-15,1
81,2022-03-15,42,56,-14,2
82,2022-03-14,40,58,-18,2
83,2022-03-11,41,58,-17,1
84,2022-03-10,39,60,-21,1
85,2022-03-09,41,57,-16,2
86,2022-03-08,41,58,-17,1
87,2022-03-07,44,54,-10,2
88,2022-03-04,42,55,-13,3
89,2022-03-03,44,54,-10,2
90,2022-03-02,42,56,-14,2
91,2022-03-01,41,57,-16,2
92,2022-02-28,40,59,-19,1
93,2022-02-25,40,58,-18,2
94,2022-02-24,42,57,-15,1
95,2022-02-23,45,55,-10,0
96,2022-02-22,46,53,-7,1
97,2022-02-21,45,54,-9,1
98,2022-02-18,43,56,-13,1
99,2022-02-17,41,58,-17,1
100,2022-02-16,41,58,-17,1
101,2022-02-15,40,59,-19,1
102,2022-02-14,42,57,-15,1
103,2022-02-11,42,56,-14,2
104,2022-02-10,43,55,-12,2
105,2022-02-09,40,58,-18,2
106,2022-02-08,41,57,-16,2
107,2022-02-07,43,56,-13,1
108,2022-02-04,43,55,-12,2
109,2022-02-03,41,57,-16,2
110,2022-02-02,39,59,-20,2
111,2022-02-01,39,59,-20,2
112,2022-01-31,41,57,-16,2
113,2022-01-28,41,57,-16,2
114,2022-01-27,42,57,-15,1
115,2022-01-26,39,60,-21,1
116,2022-01-25,40,59,-19,1
117,2022-01-24,40,59,-19,1
118,2022-01-21,41,58,-17,1
119,2022-01-20,40,58,-18,2
120,2022-01-19,41,58,-17,1
121,2022-01-18,41,58,-17,1
122,2022-01-17,39,60,-21,1
123,2022-01-14,38,60,-22,2
124,2022-01-13,39,59,-20,2
125,2022-01-12,40,58,-18,2
126,2022-01-11,40,59,-19,1
127,2022-01-10,41,59,-18,0
128,2022-01-07,41,58,-17,1
129,2022-01-06,43,57,-14,0
130,2022-01-05,41,58,-17,1
131,2022-01-04,40,58,-18,2
132,2022-01-03,40,59,-19,1
133,2021-12-31,42,57,-15,1
134,2021-12-30,43,56,-13,1
135,2021-12-29,41,58,-17,1
136,2021-12-28,41,58,-17,1
137,2021-12-27,40,58,-18,2
138,2021-12-23,41,57,-16,2
139,2021-12-22,42,57,-15,1
140,2021-12-21,42,57,-15,1
141,2021-12-20,41,57,-16,2
142,2021-12-17,41,58,-17,1
143,2021-12-16,40,58,-18,2
144,2021-12-15,42,56,-14,2
145,2021-12-14,41,57,-16,2
146,2021-12-13,43,56,-13,1
147,2021-12-10,43,56,-13,1
148,2021-12-09,42,56,-14,2
149,2021-12-08,42,57,-15,1
150,2021-12-07,42,56,-14,2
151,2021-12-06,42,56,-14,2
152,2021-12-03,42,57,-15,1
153,2021-12-02,43,56,-13,1
154,2021-12-01,43,56,-13,1
155,2021-11-30,43,56,-13,1
156,2021-11-29,42,57,-15,1
157,2021-11-24,41,58,-17,1
158,2021-11-23,41,58,-17,1
159,2021-11-22,41,58,-17,1
160,2021-11-19,41,58,-17,1
161,2021-11-18,41,59,-18,0
162,2021-11-17,41,58,-17,1
163,2021-11-16,41,57,-16,2
164,2021-11-15,43,56,-13,1
165,2021-11-12,42,57,-15,1
166,2021-11-11,41,58,-17,1
167,2021-11-10,40,59,-19,1
168,2021-11-09,40,59,-19,1
169,2021-11-08,42,57,-15,1
170,2021-11-05,43,55,-12,2
171,2021-11-04,44,54,-10,2
172,2021-11-03,44,55,-11,1
173,2021-11-02,43,56,-13,1
174,2021-11-01,42,57,-15,1
175,2021-10-29,42,57,-15,1
176,2021-10-28,42,57,-15,1
177,2021-10-27,42,57,-15,1
178,2021-10-26,41,57,-16,2
179,2021-10-25,43,56,-13,1
180,2021-10-22,42,57,-15,1
181,2021-10-21,42,56,-14,2
182,2021-10-20,41,58,-17,1
183,2021-10-19,42,56,-14,2
184,2021-10-18,42,56,-14,2
185,2021-10-15,43,56,-13,1
186,2021-10-14,43,56,-13,1
187,2021-10-13,43,56,-13,1
188,2021-10-12,41,57,-16,2
189,2021-10-11,41,58,-17,1
190,2021-10-08,43,56,-13,1
191,2021-10-07,43,55,-12,2
192,2021-10-06,45,54,-9,1
193,2021-10-05,43,55,-12,2
194,2021-10-04,43,56,-13,1
195,2021-10-01,42,56,-14,2
196,2021-09-30,42,56,-14,2
197,2021-09-29,42,56,-14,2
198,2021-09-28,41,58,-17,1
199,2021-09-27,40,58,-18,2
200,2021-09-24,42,56,-14,2
201,2021-09-23,45,54,-9,1
202,2021-09-22,45,55,-10,0
203,2021-09-21,44,56,-12,0
204,2021-09-20,43,56,-13,1
205,2021-09-17,43,55,-12,2
206,2021-09-16,44,55,-11,1
207,2021-09-15,44,55,-11,1
208,2021-09-14,45,53,-8,2
209,2021-09-13,46,52,-6,2
210,2021-09-10,46,52,-6,2
211,2021-09-09,46,52,-6,2
212,2021-09-08,46,53,-7,1
213,2021-09-07,47,52,-5,1
214,2021-09-06,46,52,-6,2
215,2021-09-03,44,54,-10,2
216,2021-09-02,42,56,-14,2
217,2021-09-01,42,56,-14,2
218,2021-08-31,44,54,-10,2
219,2021-08-30,45,54,-9,1
220,2021-08-27,45,53,-8,2
221,2021-08-26,44,55,-11,1
222,2021-08-25,44,55,-11,1
223,2021-08-24,44,55,-11,1
224,2021-08-23,46,53,-7,1
225,2021-08-20,46,53,-7,1
226,2021-08-19,46,53,-7,1
227,2021-08-18,46,54,-8,0
228,2021-08-17,45,54,-9,1
229,2021-08-16,46,53,-7,1
230,2021-08-13,47,52,-5,1
231,2021-08-12,47,52,-5,1
232,2021-08-11,48,50,-2,2
233,2021-08-10,48,51,-3,1
234,2021-08-09,49,49,0,2
235,2021-08-06,48,51,-3,1
236,2021-08-05,48,51,-3,1
237,2021-08-04,48,51,-3,1
238,2021-08-03,48,51,-3,1
239,2021-08-02,49,49,0,2
240,2021-07-30,47,51,-4,2
241,2021-07-29,47,51,-4,2
242,2021-07-28,46,52,-6,2
243,2021-07-27,47,51,-4,2
244,2021-07-26,49,49,0,2
245,2021-07-23,50,48,2,2
246,2021-07-22,51,48,3,1
247,2021-07-21,50,48,2,2
248,2021-07-20,51,48,3,1
249,2021-07-19,50,48,2,2
250,2021-07-16,49,49,0,2
251,2021-07-15,48,50,-2,2
252,2021-07-14,49,49,0,2
253,2021-07-13,49,49,0,2
254,2021-07-12,49,49,0,2
255,2021-07-09,49,49,0,2
256,2021-07-08,49,50,-1,1
257,2021-07-07,49,50,-1,1
258,2021-07-02,48,50,-2,2
259,2021-07-01,48,49,-1,3
260,2021-06-30,48,50,-2,2
261,2021-06-29,49,49,0,2
262,2021-06-28,49,49,0,2
263,2021-06-25,51,47,4,2
264,2021-06-24,51,47,4,2
265,2021-06-23,52,46,6,2
266,2021-06-22,51,47,4,2
267,2021-06-21,52,46,6,2
268,2021-06-18,51,48,3,1
269,2021-06-17,50,48,2,2
270,2021-06-16,50,48,2,2
271,2021-06-15,49,49,0,2
272,2021-06-14,49,50,-1,1
273,2021-06-11,49,49,0,2
274,2021-06-10,52,47,5,1
275,2021-06-09,51,48,3,1
276,2021-06-08,49,49,0,2
277,2021-06-07,48,49,-1,3
278,2021-06-04,49,49,0,2
279,2021-06-03,50,49,1,1
280,2021-06-02,51,48,3,1
281,2021-06-01,53,45,8,2
282,2021-05-31,53,45,8,2
283,2021-05-28,55,43,12,2
284,2021-05-27,53,45,8,2
285,2021-05-26,55,43,12,2
286,2021-05-25,54,44,10,2
287,2021-05-24,54,43,11,3
288,2021-05-21,52,46,6,2
289,2021-05-20,52,46,6,2
290,2021-05-19,51,48,3,1
291,2021-05-18,50,48,2,2
292,2021-05-17,51,48,3,1
293,2021-05-14,49,50,-1,1
294,2021-05-13,50,48,2,2
295,2021-05-12,48,50,-2,2
296,2021-05-11,50,48,2,2
297,2021-05-10,50,48,2,2
298,2021-05-07,51,47,4,2
299,2021-05-06,51,47,4,2
300,2021-05-05,50,47,3,3
301,2021-05-04,49,49,0,2
302,2021-05-03,48,49,-1,3
303,2021-04-30,47,51,-4,2
304,2021-04-29,48,50,-2,2
305,2021-04-28,48,50,-2,2
306,2021-04-27,50,48,2,2
307,2021-04-26,51,47,4,2
308,2021-04-23,52,46,6,2
309,2021-04-22,50,49,1,1
310,2021-04-21,50,48,2,2
311,2021-04-20,50,49,1,1
312,2021-04-19,50,48,2,2
313,2021-04-16,49,49,0,2
314,2021-04-15,50,48,2,2
315,2021-04-14,50,48,2,2
316,2021-04-13,50,48,2,2
317,2021-04-12,50,48,2,2
318,2021-04-09,50,48,2,2
319,2021-04-08,51,48,3,1
320,2021-04-07,49,50,-1,1
321,2021-04-06,47,51,-4,2
322,2021-04-05,47,51,-4,2
323,2021-04-02,48,50,-2,2
324,2021-04-01,48,50,-2,2
325,2021-03-31,49,49,0,2
326,2021-03-30,48,50,-2,2
327,2021-03-29,49,50,-1,1
328,2021-03-26,48,51,-3,1
329,2021-03-25,47,51,-4,2
330,2021-03-24,48,50,-2,2
331,2021-03-23,48,50,-2,2
332,2021-03-22,49,49,0,2
333,2021-03-19,52,47,5,1
334,2021-03-18,51,47,4,2
335,2021-03-17,52,46,6,2
336,2021-03-16,51,47,4,2
337,2021-03-15,52,46,6,2
338,2021-03-12,51,47,4,2
339,2021-03-11,50,47,3,3
340,2021-03-10,50,48,2,2
341,2021-03-09,50,48,2,2
342,2021-03-08,49,49,0,2
343,2021-03-05,49,49,0,2
344,2021-03-04,49,48,1,3
345,2021-03-03,50,47,3,3
346,2021-03-02,50,48,2,2
347,2021-03-01,49,48,1,3
348,2021-02-26,49,49,0,2
349,2021-02-25,50,48,2,2
350,2021-02-24,49,49,0,2
351,2021-02-23,50,48,2,2
352,2021-02-22,50,49,1,1
353,2021-02-19,49,49,0,2
354,2021-02-18,50,48,2,2
355,2021-02-17,50,47,3,3
356,2021-02-16,53,44,9,3
357,2021-02-15,53,43,10,4
358,2021-02-12,52,45,7,3
359,2021-02-11,50,47,3,3
360,2021-02-10,51,47,4,2
361,2021-02-09,51,46,5,3
362,2021-02-08,50,47,3,3
363,2021-02-05,49,48,1,3
364,2021-02-04,52,46,6,2
365,2021-02-03,51,47,4,2
366,2021-02-02,51,45,6,4
367,2021-02-01,49,46,3,5
368,2021-01-29,50,45,5,5
369,2021-01-28,49,48,1,3
370,2021-01-27,48,48,0,4
371,2021-01-26,48,47,1,5
372,2021-01-25,48,47,1,5
373,2021-01-22,48,45,3,7
