,Date,Total Approve,Total Disapprove,Total_Approve,Total_Disapprove,Relative_Approval,Neutral
242,2016-02-05,49%,50%,49,50,-1,1
243,2016-02-04,48%,51%,48,51,-3,1
244,2016-02-03,47%,52%,47,52,-5,1
245,2016-02-02,47%,51%,47,51,-4,2
246,2016-02-01,48%,51%,48,51,-3,1
247,2016-01-29,49%,50%,49,50,-1,1
248,2016-01-28,50%,49%,50,49,1,1
249,2016-01-27,50%,49%,50,49,1,1
250,2016-01-26,50%,49%,50,49,1,1
251,2016-01-25,49%,50%,49,50,-1,1
252,2016-01-22,49%,50%,49,50,-1,1
253,2016-01-21,48%,51%,48,51,-3,1
254,2016-01-20,50%,49%,50,49,1,1
255,2016-01-19,49%,50%,49,50,-1,1
256,2016-01-18,49%,50%,49,50,-1,1
257,2016-01-15,47%,52%,47,52,-5,1
258,2016-01-14,48%,50%,48,50,-2,2
259,2016-01-13,47%,51%,47,51,-4,2
260,2016-01-12,48%,51%,48,51,-3,1
261,2016-01-11,46%,53%,46,53,-7,1
262,2016-01-08,46%,53%,46,53,-7,1
263,2016-01-07,46%,53%,46,53,-7,1
264,2016-01-06,48%,52%,48,52,-4,0
265,2016-01-05,49%,50%,49,50,-1,1
266,2016-01-04,48%,51%,48,51,-3,1
267,2015-12-31,46%,52%,46,52,-6,2
268,2015-12-30,45%,54%,45,54,-9,1
269,2015-12-29,45%,53%,45,53,-8,2
270,2015-12-28,46%,53%,46,53,-7,1
271,2015-12-24,46%,52%,46,52,-6,2
272,2015-12-23,47%,53%,47,53,-6,0
273,2015-12-22,47%,52%,47,52,-5,1
274,2015-12-21,46%,52%,46,52,-6,2
275,2015-12-18,46%,53%,46,53,-7,1
276,2015-12-17,46%,52%,46,52,-6,2
277,2015-12-16,46%,53%,46,53,-7,1
278,2015-12-15,46%,52%,46,52,-6,2
279,2015-12-14,46%,53%,46,53,-7,1
280,2015-12-11,47%,52%,47,52,-5,1
281,2015-12-10,46%,53%,46,53,-7,1
282,2015-12-09,45%,54%,45,54,-9,1
283,2015-12-08,43%,55%,43,55,-12,2
284,2015-12-07,45%,54%,45,54,-9,1
285,2015-12-04,45%,54%,45,54,-9,1
286,2015-12-03,47%,52%,47,52,-5,1
287,2015-12-02,48%,51%,48,51,-3,1
288,2015-12-01,49%,50%,49,50,-1,1
289,2015-11-30,50%,49%,50,49,1,1
290,2015-11-25,47%,52%,47,52,-5,1
291,2015-11-24,45%,54%,45,54,-9,1
292,2015-11-23,43%,56%,43,56,-13,1
293,2015-11-20,43%,55%,43,55,-12,2
294,2015-11-19,44%,54%,44,54,-10,2
295,2015-11-18,44%,55%,44,55,-11,1
296,2015-11-17,44%,54%,44,54,-10,2
297,2015-11-16,44%,54%,44,54,-10,2
298,2015-11-13,46%,53%,46,53,-7,1
299,2015-11-12,47%,52%,47,52,-5,1
300,2015-11-11,48%,51%,48,51,-3,1
301,2015-11-10,48%,51%,48,51,-3,1
302,2015-11-09,45%,54%,45,54,-9,1
303,2015-11-06,45%,54%,45,54,-9,1
304,2015-11-05,44%,55%,44,55,-11,1
305,2015-11-04,46%,52%,46,52,-6,2
306,2015-11-03,46%,52%,46,52,-6,2
307,2015-11-02,49%,49%,49,49,0,2
308,2015-10-30,51%,48%,51,48,3,1
309,2015-10-29,50%,48%,50,48,2,2
310,2015-10-28,46%,52%,46,52,-6,2
311,2015-10-27,45%,53%,45,53,-8,2
312,2015-10-26,46%,53%,46,53,-7,1
313,2015-10-23,48%,51%,48,51,-3,1
314,2015-10-22,48%,51%,48,51,-3,1
315,2015-10-21,47%,52%,47,52,-5,1
316,2015-10-20,46%,52%,46,52,-6,2
317,2015-10-19,46%,53%,46,53,-7,1
318,2015-10-16,46%,53%,46,53,-7,1
319,2015-10-15,46%,52%,46,52,-6,2
320,2015-10-14,45%,54%,45,54,-9,1
321,2015-10-13,46%,53%,46,53,-7,1
322,2015-10-12,45%,55%,45,55,-10,0
323,2015-10-09,47%,52%,47,52,-5,1
324,2015-10-08,46%,54%,46,54,-8,0
325,2015-10-07,47%,53%,47,53,-6,0
326,2015-10-06,46%,53%,46,53,-7,1
327,2015-10-05,47%,52%,47,52,-5,1
328,2015-10-02,48%,51%,48,51,-3,1
329,2015-10-01,47%,52%,47,52,-5,1
330,2015-09-30,46%,53%,46,53,-7,1
331,2015-09-29,46%,53%,46,53,-7,1
332,2015-09-28,47%,52%,47,52,-5,1
333,2015-09-25,49%,51%,49,51,-2,0
334,2015-09-24,46%,53%,46,53,-7,1
335,2015-09-23,46%,52%,46,52,-6,2
336,2015-09-22,45%,54%,45,54,-9,1
337,2015-09-21,46%,52%,46,52,-6,2
338,2015-09-18,45%,54%,45,54,-9,1
339,2015-09-17,44%,55%,44,55,-11,1
340,2015-09-16,44%,55%,44,55,-11,1
341,2015-09-15,46%,53%,46,53,-7,1
342,2015-09-14,51%,47%,51,47,4,2
343,2015-09-11,50%,48%,50,48,2,2
344,2015-09-10,49%,50%,49,50,-1,1
345,2015-09-09,46%,53%,46,53,-7,1
346,2015-09-08,44%,55%,44,55,-11,1
347,2015-09-07,45%,54%,45,54,-9,1
348,2015-09-04,45%,54%,45,54,-9,1
349,2015-09-03,47%,52%,47,52,-5,1
350,2015-09-02,47%,53%,47,53,-6,0
351,2015-09-01,47%,53%,47,53,-6,0
352,2015-08-31,46%,53%,46,53,-7,1
353,2015-08-28,46%,53%,46,53,-7,1
354,2015-08-27,47%,52%,47,52,-5,1
355,2015-08-26,47%,51%,47,51,-4,2
356,2015-08-25,48%,51%,48,51,-3,1
357,2015-08-24,45%,54%,45,54,-9,1
358,2015-08-21,44%,54%,44,54,-10,2
359,2015-08-20,43%,55%,43,55,-12,2
360,2015-08-19,45%,52%,45,52,-7,3
361,2015-08-18,46%,52%,46,52,-6,2
362,2015-08-17,47%,51%,47,51,-4,2
363,2015-08-14,47%,52%,47,52,-5,1
364,2015-08-13,47%,52%,47,52,-5,1
365,2015-08-12,47%,52%,47,52,-5,1
366,2015-08-11,47%,52%,47,52,-5,1
367,2015-08-10,47%,51%,47,51,-4,2
368,2015-08-07,47%,52%,47,52,-5,1
369,2015-08-06,47%,52%,47,52,-5,1
370,2015-08-05,45%,53%,45,53,-8,2
371,2015-08-04,45%,53%,45,53,-8,2
372,2015-08-03,46%,52%,46,52,-6,2
373,2015-07-31,46%,52%,46,52,-6,2
374,2015-07-30,47%,51%,47,51,-4,2
375,2015-07-29,48%,50%,48,50,-2,2
376,2015-07-28,46%,52%,46,52,-6,2
377,2015-07-27,46%,53%,46,53,-7,1
378,2015-07-24,46%,53%,46,53,-7,1
379,2015-07-23,47%,52%,47,52,-5,1
380,2015-07-22,46%,53%,46,53,-7,1
381,2015-07-21,46%,53%,46,53,-7,1
382,2015-07-20,45%,55%,45,55,-10,0
383,2015-07-17,45%,54%,45,54,-9,1
384,2015-07-16,45%,54%,45,54,-9,1
385,2015-07-15,48%,51%,48,51,-3,1
